,FOV_row,FOV_col,x,y,r,R,G,B,R_max,G_max,B_max,lap_total,lap_max,numPixels,numSaturatedPixels,overlap,idx,URL,Annotation
0,11,9,31,1133,1.5,140.0,619.0,347.0,15.0,48.0,30.0,888.0,100.0,25,0,0.09041591320072333,335,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0009/31_1133.jpeg,Parasite
1,11,8,149,601,1.0,338.0,1162.0,639.0,42.0,110.0,69.0,1986.0,233.0,25,0,0.9658719027582984,178,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0008/149_601.jpeg,Parasite
2,11,8,535,559,1.0,293.0,920.0,558.0,47.0,107.0,76.0,2100.0,353.0,25,0,1.0,159,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0008/535_559.jpeg,Parasite
3,11,7,582,999,1.0,281.0,918.0,506.0,42.0,98.0,64.0,1520.0,314.0,25,0,0.9765395894428152,336,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0007/582_999.jpeg,Parasite
4,11,7,1358,925,1.0,332.0,671.0,483.0,57.0,93.0,72.0,1916.0,450.0,25,0,1.0,313,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0007/1358_925.jpeg,Parasite
5,11,7,828,901,1.0,371.0,880.0,513.0,50.0,94.0,62.0,2140.0,236.0,25,0,1.0,297,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0007/828_901.jpeg,Parasite
6,11,7,858,134,1.0,373.0,1011.0,548.0,52.0,104.0,68.0,2246.0,301.0,25,0,1.0,38,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0007/858_134.jpeg,Parasite
7,11,4,259,266,1.0,58.0,411.0,397.0,8.0,38.0,34.0,678.0,76.0,25,0,0.3210161662817552,197,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0004/259_266.jpeg,Platelet
8,11,3,335,970,1.0,81.0,1404.0,1221.0,10.0,114.0,98.0,1696.0,207.0,25,0,0.6788617886178862,1071,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0003/335_970.jpeg,Platelet
9,11,3,157,941,1.5,147.0,2261.0,2213.0,15.0,143.0,140.0,2074.0,208.0,25,0,0.12573036139363775,1035,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0003/157_941.jpeg,Platelet
10,11,3,638,203,1.0,75.0,860.0,734.0,11.0,76.0,67.0,1168.0,158.0,25,0,0.033553025763930495,195,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0011_0003/638_203.jpeg,Platelet
11,10,11,612,1306,1.0,185.0,572.0,317.0,25.0,63.0,41.0,1348.0,193.0,25,0,1.0,492,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0010_0011/612_1306.jpeg,Parasite
12,10,11,401,490,1.0,318.0,1013.0,547.0,49.0,114.0,73.0,1856.0,318.0,25,0,0.4371671991480298,176,https://octopi201910.s3-us-west-1.amazonaws.com/3C/0010_0011/401_490.jpeg,Parasite
